geolocation_zip_code_prefix,geolocation_city,geolocation_state,geolocation_id
2140,sao paulo,SP,e4d4c89034f2143e1d08e8c85da5796df6b7bf54f51b8e06d6f1778fecaf082b
6930,cipo-guacu,SP,8d6d70deadc6234a29e8c500b2a995c5ba618bdb5502add006a02a0f197dd487
7412,aruja,SP,18a6d0c33629af6d498aa1682ada0ee48cb56b60ac3a93106c9c057d85f51315
7430,aruja,SP,199711f84c7a1a2ecfd780da700677ab30b5909e5d915b45d5e3b2c499bd2cc4
7729,caieiras,SP,32916a4cdb51f68c0a38d0b6b997b3e1bd1b577644fb95ee677b3c743174b6f5
7784,cajamar,SP,93a915ca4fa34aa8b407c5b381dec4808dd50a3f1ea5cabe987a3d36f1b953f7
8342,sao paulo,SP,ea1d6d76626ef4854d839dba04d43b321cdcae4a93fd865938f117e3f4f5d86b
8980,nossa senhora do remedio,SP,09161d9b42b9210f123b57f7dd66ad4ebbd4e3ec1d8552a5cdf180c3e88a31fd
9274,santo andre,SP,4105818d12c3a21090af360e6551bb61a06eb335b22e380925c921e6deb11b91
11547,cubatao,SP,2677d714291717dff8fe086cbe406deb53f204e62a52691620eb9f17a0fd97a4
12332,jacarei,SP,8f7ec194e0633b1d341a949af52fdf40b3f55acf8c3263280f4e7598ad57d1ba
12770,pinheiros,SP,0f2269855010378211da6115807f3f7dfb85f73434169abd570dac56da09823d
13307,itu,SP,e237693a2aed55a4f0911ad104b5befe900e399cc322e5406a7179279957596b
13508,ajapi,SP,01f553e6b9100a46961b037f3d7590e5ada4d78fb619e09834737becf3281799
15903,guariroba,SP,18a456c7b3d0ca7e65ebb5184d7f03cad031daf76292a8ec5287a5c4238aa2a9
17390,sao sebastiao da serra,SP,f92a1a6dc160a7c2a9e0a77a5e41bb90b2e25e5032f6f7771def8990e5b28d5e
19740,bora,SP,7c0c8ac65d74c1a54c8a142e83a8a85b9013bbc2c38ea76a579412c1a2babfa8
25840,bemposta,RJ,dfb6fec3af844b0142f9ce73cc4c94fb4e2e0b4196e05b45165c541122056160
25919,mage,RJ,212e8d0c1ad63707c4ecd5d6175419a260ef119b62d2a2a0a7d6c50113f31aa7
27980,corrego do ouro,RJ,ca0814da7cb0673277e66ad2e833c705b905338ce84380b459be4b5e33c543e8
28120,ibitioca,RJ,a37cfd76abcee6f83e7054d04361fb846b5fa5f8be34ef0f30e7d15d6f8a4288
28143,mussurepe,RJ,2655de0d87875637412a18f1feabe5348fa20d5ff143011b4957327e7aca660e
28160,santo eduardo,RJ,f4468d0a613d13200411deaf255ecd8d3865bbcd33644a4ddb6cf70c9ad48877
28388,bom jesus do querendo,RJ,abe8fbe0d1b79b60a0b84130ca5ece02b1528e612b9eeb916af80dd497f661cf
28530,sao sebastiao do paraiba,RJ,17b37ae181b9ded7bfbe64544440b2915f74c7231cfb3083a37c46a6f8d57739
28575,jaguarembe,RJ,ab7c59d93f45880be78ef8af41bda2611c35389ad24fd4afe2678e5d5b967dc4
28617,nova friburgo,RJ,72c294b32745c67ef058d8e8af54f6ef4738a7b2984ab8330b75f737218fad8e
28655,monnerat,RJ,85fe2acbb1a29325ca2d2f821edf755adfeca8c6311ef8bb1cc4eea2a0f480a5
29196,aracruz,ES,7f3802abc975aee5caa2e697cc87e042f0cb175b2f2bab265df7037e80370406
29386,piacu,ES,da2d93f80cbc1f98f38d0b691474500baf69af19589fb1af1709d19a6fcb6df7
29718,angelo frechiani,ES,c71b68ccd530375fddef04b1370fb37be410d06dc6f5c355819a9036994cbea3
29949,sao mateus,ES,6c9d2dea3cc60ca21f99be8d6cd547a37505c5ddae23a66c14b70e6344ae2e74
35104,sao vitor,MG,9633c25dbac5e053ca77c5076a09b4a97c5516f7be6bb5402cda6e187cfd3f62
35242,cuite velho,MG,d7e12bef315e8b9b865ff7871ccf97a1a1bf3aea71b4f8545d9674b809c53134
35408,glaura,MG,b41db982ad4d5b473de193b433a79d79eea81b6481181217bedd20744e949c78
36248,conceicao do formoso,MG,b39a8ae96d6287f75da44e131aa770bd6bc6903ed5f38ac67b3b9e8045485d8c
36596,estevao de araujo,MG,21f3220f13b9ce2d6d31dd5385956cfcacaab67444860bb49166cd473495841e
36857,pinhotiba,MG,ed98d030faae7228fce36070ac591932430ae887da33d21a0a0cb0cea87c5bd6
36956,sao francisco do humaita,MG,8a7f7a3d679ad71bff9af37e40f8b802cef4221fcd085253937654497010de17
37005,varginha,MG,e938bb3b58408965029d7ad35b88da0d19e44017bfc0b60f2e599c5490ebfc5f
38627,palmital de minas,MG,95749aea143dcb5c1aa39f71229a91538db7af1136d4571f5f93d89efedf8bd7
